"location","ams_code","year","pop"
"Tilburg",10792,1879,28390
"Uden",11141,1879,5527
"Uitgeest",11238,1879,2363
"Uithoorn",11206,1879,1765
"Urk",10783,1879,2136
"Utrecht",10722,1879,67633
"Valkenswaard",11031,1879,1359
"Veendam",11292,1879,10392
"Veenendaal",11052,1879,4030
"Veghel",10985,1879,5308
"Veldhoven",10071,1879,1345
"De Meern",10713,1879,370
"IJmuiden",10620,1879,5771
"Velserbroek",10620,1879,5771
"Venlo",10477,1879,9133
"Venray",11222,1879,5330
"Leidschendam",10366,1879,1064
"Vianen",10887,1879,3512
"Vlaardingen",10811,1879,9519
"Vleuten",10658,1879,1271
"Vlijmen",11293,1879,3389
"Vlissingen",10270,1879,10056
"Voorburg",11103,1879,2772
"Voorhout",10017,1879,1091
"Voorschoten",10537,1879,2179
"Twello",10912,1879,8926
"Vriezenveen",10643,1879,3682
"Vught",11224,1879,3256
"Waalre",10959,1879,866
"Waalwijk",11359,1879,3998
"Waddinxveen",10081,1879,4228
"Wageningen",11010,1879,6305
"Wassenaar",10164,1879,3542
"Wateringen",11329,1879,1792
"Weert",11081,1879,7477
"Weesp",10773,1879,3607
"Westervoort",11085,1879,1601
"Wierden",10676,1879,5979
"Wijchen",10723,1879,3471
"Wijk bij Duurstede",10760,1879,3041
"Winschoten",10453,1879,6640
"Winterswijk",11119,1879,8073
"Woerden",10974,1879,4261
"Wormer",10648,1879,1645
"Wormerveer",10361,1879,3883
"Woudenberg",11398,1879,2291
"Zaandam",11044,1879,13171
"Zaltbommel",10557,1879,3812
"Zandvoort",10910,1879,1973
"Zoetermeer",10185,1879,1518
"Zeist",10324,1879,5815
"Zevenaar",10938,1879,4066
"Zevenbergen",10046,1879,6462
"Zierikzee",10843,1879,7139
"Zuidlaren",10002,1879,3046
"Zutphen",10254,1879,14822
"Zwaag",10218,1879,1135
"Zwijndrecht",10468,1879,3313
"Zwolle",10093,1879,22759
"Aalsmeer",11264,1889,4485
"Aalten",11046,1889,6781
"Alblasserdam",11327,1889,4714
"Alkmaar",10527,1889,15698
"Almelo",11053,1889,8018
"Alphen aan den Rijn",10517,1889,4054
"Hardenberg",10174,1889,7781
"Amersfoort",10948,1889,15373
"Amsterdam",11150,1889,407483
"Apeldoorn",11075,1889,19272
"Appingedam",10886,1889,4208
"Arnhem",10795,1889,49712
"Assen",10522,1889,9127
"Assendelft",11373,1889,3482
"Asten",10478,1889,3333
"Dedemsvaart",11190,1889,6344
"Baarn",11411,1889,5159
"Barendrecht",10943,1889,3262
"Barneveld",10906,1889,7095
"Voorthuizen",10906,1889,7095
"Beek",11374,1889,2776
"Reuver",10195,1889,1923
"Beilen",10520,1889,4508
"Bemmel",10744,1889,5648
"Schoonhoven",10962,1889,2903
"Bergen",11424,1889,1446
"Bergen op Zoom",11037,1889,12665
"Bergeijk",11160,1889,1731
"Bergschenhoek",10445,1889,1132
"Berkel en Rodenrijs",10139,1889,1560
"Berkel-Enschot",11132,1889,1198
"Best",10442,1889,2315
"Beuningen",10417,1889,2196
"Beverwijk",10272,1889,4112
"Bladel",11006,1889,1341
"Bleiswijk",10994,1889,1636
"Bodegraven",11091,1889,3755
"Borne",10326,1889,4459
"Boskoop",10419,1889,2806
"Bovenkarspel",10945,1889,1692
"Boxmeer",11227,1889,2326
"Boxtel",10083,1889,6081
"Breda",10154,1889,21047
"Breukelen",11149,1889,858
"Brielle",10232,1889,4285
"Eerbeek",10798,1889,7192
"Brunssum",10533,1889,1115
"Bunschoten Spakenburg",11343,1889,2349
"Bussum",10281,1889,3393
"Capelle aan den IJssel",11248,1889,3311
"Castricum",11287,1889,1665
"Coevorden",10383,1889,3126
"Cuijk",10023,1889,2611
"Culemborg",10342,1889,7655
"Dalfsen",11007,1889,5306
"De Bilt",10168,1889,2678
"Bilthoven",10168,1889,2678
"Delft",10928,1889,28444
"Delfzijl",10976,1889,6582
"De Lier",10241,1889,1202
"Den Helder",10285,1889,20437
"Julianadorp",10285,1889,20437
"Deurne",10379,1889,5480
"Deventer",10899,1889,22904
"Werkendam",10116,1889,2622
"Didam",10153,1889,3944
"Diemen",11039,1889,1676
"Doesburg",10327,1889,4456
"Doetinchem",10396,1889,3151
"Dokkum",10198,1889,4052
"Dongen",11412,1889,4799
"Doorn",10213,1889,1857
"Dordrecht",11157,1889,32618
"Driebergen-Rijsenburg",10777,1889,2500
"Drunen",10428,1889,2895
"Druten",10068,1889,4382
"Duiven",11028,1889,2903
"Echt",10941,1889,4909
"Volendam",10884,1889,6325
"Ede",10743,1889,13094
"Lunteren",10743,1889,13094
"Bennekom",10743,1889,13094
"Eibergen",10436,1889,5032
"Eindhoven",11298,1889,4553
"Elburg",11113,1889,2715
"Elst",11188,1889,6121
"Emmen",11180,1889,14406
"Klazienaveen",11180,1889,14406
"Enkhuizen",10729,1889,6328
"Enschede",10364,1889,15222
"Epe",10940,1889,8000
"Vaassen",10940,1889,8000
"Ermelo",10732,1889,5730
"Nunspeet",10732,1889,5730
"Etten-Leur",10750,1889,6148
"Franeker",11226,1889,7196
"Geldermalsen",10881,1889,2838
"Geldrop",10529,1889,2582
"Geleen",10048,1889,2384
"Gemert",10277,1889,4827
"Ulft",10260,1889,5798
"Genemuiden",10746,1889,2887
"Rijen",11375,1889,3204
"Goes",10674,1889,6564
"Goirle",10971,1889,2062
"Goor",10076,1889,2846
"Gorinchem",10942,1889,11871
"Gouda",10302,1889,19699
"Groesbeek",10616,1889,5010
"Groningen",10426,1889,56018
"Haaksbergen",11435,1889,4873
"Haarlem",10357,1889,48544
"Hoofddorp",11387,1889,15287
"Nieuw Vennep",11387,1889,15287
"Badhoevedorp",11387,1889,15287
"Halsteren",10387,1889,3012
"Harderwijk",10786,1889,7298
"Hardinxveld Giessendam",10167,1889,4871
"Haren",11058,1889,3864
"Harlingen",10909,1889,10193
"Joure",10022,1889,7528
"Hattem",10673,1889,2844
"Heemskerk",10679,1889,1987
"Heemstede",11288,1889,3748
"Heerde",10291,1889,5525
"Heerhugowaard",10752,1889,2744
"Heerlen",10902,1889,5350
"Heesch",10149,1889,2102
"Heiloo",10793,1889,1624
"Nijverdal",10806,1889,6263
"Helmond",10932,1889,9026
"Hendrik Ido Ambacht",10416,1889,2955
"Hengelo",10907,1889,13744
"Malden",10600,1889,1595
"Hillegom",11236,1889,3781
"Hilversum",11285,1889,12453
"Hoensbroek",11177,1889,1203
"Hoogeveen",10839,1889,11694
"Hoogezand",10410,1889,8661
"Hoogland",10545,1889,2243
"Hoorn",11392,1889,11031
"Horst",11108,1889,4184
"Houten",10230,1889,1763
"Huissen",11047,1889,4074
"Huizen",11170,1889,4421
"Hulst",11408,1889,2415
"IJsselmuiden",10641,1889,2154
"IJsselstein",10152,1889,3466
"Nieuwegein",10374,1889,2628
"Kampen",10253,1889,18686
"Katwijk",10707,1889,6928
"Kerkrade",10313,1889,7017
"Koog aan de Zaan",10776,1889,2708
"Krimpen aan den IJssel",10859,1889,2145
"Krommenie",10373,1889,2675
"Laren",10649,1889,5995
"Leek",10604,1889,4951
"Leerdam",10685,1889,4082
"Leeuwarden",11228,1889,30416
"Leiden",10702,1889,43363
"Leiderdorp",10058,1889,3850
"Lemmer",10142,1889,5808
"Leusden",10978,1889,1775
"Lichtenvoorde",10242,1889,4253
"Lisse",10197,1889,2673
"Lochem",11263,1889,3552
"Oldenzaal",11045,1889,7328
"Kaatsheuvel",11259,1889,7208
"Losser",11166,1889,4711
"Maarssen",10874,1889,1416
"Maassluis",10880,1889,6454
"Maastricht",10182,1889,32070
"Made",10258,1889,3570
"Meppel",11204,1889,8898
"Middelburg",10122,1889,16473
"Mijdrecht",11379,1889,3772
"Monster",10019,1889,4489
"Naaldwijk",11418,1889,4971
"Naarden",10187,1889,3189
"Nederweert",10681,1889,4806
"Landgraaf",10088,1889,1154
"Amstelveen",10799,1889,24896
"Nieuwerkerk aan den IJssel",10855,1889,2372
"Hellevoetsluis",10264,1889,1521
"Nijkerk",10446,1889,7756
"Nijmegen",11209,1889,32089
"Noordwijk",10769,1889,4379
"Noordwijkerhout",11134,1889,1617
"Nootdorp",10601,1889,722
"Nuenen",10761,1889,2556
"Oegstgeest",10287,1889,3831
"Oirschot",10225,1889,3897
"Oisterwijk",10103,1889,3023
"Wezep",11106,1889,5300
"Ommen",11069,1889,1797
"Stadskanaal",10610,1889,8945
"Oost-Souburg",11396,1889,1537
"Oosterhout",11280,1889,10665
"Oss",10834,1889,7549
"Oud Beijerland",11301,1889,5290
"Oudenbosch",10397,1889,4376
"Valkenburg",10868,1889,590
"Papendrecht",10427,1889,2993
"Pijnacker",10031,1889,1572
"Hoogvliet",11395,1889,1192
"Prinsenbeek",10762,1889,7090
"Purmerend",11066,1889,5547
"Putten",11109,1889,5069
"Raalte",10279,1889,5694
"Raamsdonksveer",11391,1889,4898
"Wolvega",10330,1889,2933
"Oosterwolde",10330,1889,2933
"Burgum",10330,1889,2933
"Oosterbeek",11325,1889,7095
"Velp",11355,1889,13806
"Dieren",11355,1889,13806
"Rhenen",10309,1889,5118
"Rhoon",10903,1889,1698
"Ridderkerk",10646,1889,7750
"Rijnsburg",11118,1889,2295
"Rijssen",10358,1889,4778
"Rijswijk",11133,1889,2610
"Roden",10699,1889,2805
