"location","ams_code","year","pop"
"Hoogeveen",10839,1920,13612
"Hoogezand",10410,1920,11172
"Hoogland",10545,1920,2882
"Hoorn",11392,1920,11492
"Horst",11108,1920,6520
"Houten",10230,1920,2251
"Huissen",11047,1920,4767
"Huizen",11170,1920,6468
"Hulst",11408,1920,3852
"IJsselmuiden",10641,1920,2626
"IJsselstein",10152,1920,4499
"Nieuwegein",10374,1920,3924
"Kampen",10253,1920,20634
"Katwijk",10707,1920,13482
"Kerkrade",10313,1920,25494
"Koog aan de Zaan",10776,1920,3614
"Krimpen aan den IJssel",10859,1920,3965
"Krommenie",10373,1920,4481
"Laren",10649,1920,10012
"Leek",10604,1920,7258
"Leerdam",10685,1920,8661
"Leeuwarden",11228,1920,43127
"Leiden",10702,1920,65694
"Leiderdorp",10058,1920,2083
"Lemmer",10142,1920,7210
"Leusden",10978,1920,1986
"Lichtenvoorde",10242,1920,6066
"Lisse",10197,1920,6650
"Lochem",11263,1920,5406
"Oldenzaal",11045,1920,21524
"Kaatsheuvel",11259,1920,9127
"Losser",11166,1920,12611
"Maarssen",10874,1920,1465
"Maassluis",10880,1920,10213
"Maastricht",10182,1920,54328
"Made",10258,1920,4946
"Meppel",11204,1920,11756
"Middelburg",10122,1920,18605
"Mijdrecht",11379,1920,4291
"Monster",10019,1920,7792
"Naaldwijk",11418,1920,8443
"Naarden",10187,1920,5093
"Nederweert",10681,1920,6168
"Landgraaf",10088,1920,3011
"Amstelveen",10799,1920,8180
"Nieuwerkerk aan den IJssel",10855,1920,3403
"Hellevoetsluis",10264,1920,2766
"Nijkerk",10446,1920,8829
"Nijmegen",11209,1920,66911
"Noordwijk",10769,1920,7901
"Noordwijkerhout",11134,1920,4370
"Nootdorp",10601,1920,1018
"Nuenen",10761,1920,2806
"Oegstgeest",10287,1920,4246
"Oirschot",10225,1920,4291
"Oisterwijk",10103,1920,4249
"Wezep",11106,1920,7389
"Ommen",11069,1920,1877
"Stadskanaal",10610,1920,17393
"Oost-Souburg",11396,1920,4134
"Oosterhout",11280,1920,13773
"Oss",10834,1920,11470
"Oud Beijerland",11301,1920,6109
"Oudenbosch",10397,1920,5877
"Valkenburg",10868,1920,1031
"Papendrecht",10427,1920,4901
"Pijnacker",10031,1920,2828
"Hoogvliet",11395,1920,2513
"Prinsenbeek",10762,1920,12634
"Purmerend",11066,1920,6098
"Putten",11109,1920,8158
"Raalte",10279,1920,7840
"Raamsdonksveer",11391,1920,6764
"Wolvega",10330,1920,2865
"Oosterwolde",10330,1920,2865
"Burgum",10330,1920,2865
"Oosterbeek",11325,1920,12138
"Velp",11355,1920,20700
"Dieren",11355,1920,20700
"Rhenen",10309,1920,6550
"Rhoon",10903,1920,2120
"Ridderkerk",10646,1920,12307
"Rijnsburg",11118,1920,3934
"Rijssen",10358,1920,7142
"Rijswijk",11133,1920,8906
"Roden",10699,1920,4409
"Roermond",11313,1920,16072
"Roosendaal",10407,1920,19354
"Rosmalen",10970,1920,4172
"Rotterdam",10345,1920,516271
"Rozenburg",11314,1920,2538
"Sassenheim",10612,1920,3754
"Schagen",10511,1920,3592
"Schiedam",11260,1920,40469
"Schijndel",11178,1920,6820
"Heerenveen",10680,1920,16441
"Den Haag",11434,1920,354987
"s-Gravenzande",10640,1920,5710
"Den Bosch",10054,1920,38446
"Sint Michielsgestel",10496,1920,4607
"Sint Oedenrode",10399,1920,5533
"Sittard",11230,1920,10454
"Sliedrecht",11331,1920,13029
"Drachten",10405,1920,14151
"Sneek",11421,1920,13527
"Soest",11021,1920,8061
"Someren",10203,1920,3401
"Son",10549,1920,1756
"Spijkenisse",10735,1920,2284
"Staphorst",11362,1920,6181
"Steenbergen",10731,1920,8979
"Steenwijk",10546,1920,6808
"Stein",11319,1920,2659
"Tegelen",11333,1920,8051
"Terneuzen",10704,1920,9762
"Tiel",10027,1920,11454
"Tilburg",10792,1920,63111
"Uden",11141,1920,6888
"Uitgeest",11238,1920,3394
"Uithoorn",11206,1920,3323
"Urk",10783,1920,2975
"Utrecht",10722,1920,140309
"Valkenswaard",11031,1920,5033
"Veendam",11292,1920,13093
"Veenendaal",11052,1920,6597
"Veghel",10985,1920,6810
"Veldhoven",10071,1920,2450
"De Meern",10713,1920,588
"IJmuiden",10620,1920,28003
"Velserbroek",10620,1920,28003
"Venlo",10477,1920,20841
"Venray",11222,1920,9756
"Leidschendam",10366,1920,2347
"Vianen",10887,1920,3369
"Vlaardingen",10811,1920,25447
"Vleuten",10658,1920,2164
"Vlijmen",11293,1920,3897
"Vlissingen",10270,1920,22511
"Voorburg",11103,1920,7452
"Voorhout",10017,1920,2578
"Voorschoten",10537,1920,4317
"Twello",10912,1920,11811
"Vriezenveen",10643,1920,6608
"Vught",11224,1920,7856
"Waalre",10959,1920,1258
"Waalwijk",11359,1920,5498
"Waddinxveen",10081,1920,6350
"Wageningen",11010,1920,11390
"Wassenaar",10164,1920,6802
"Wateringen",11329,1920,3181
"Weert",11081,1920,12215
"Weesp",10773,1920,7354
"Westervoort",11085,1920,1917
"Wierden",10676,1920,8630
"Wijchen",10723,1920,5020
"Wijk bij Duurstede",10760,1920,3120
"Winschoten",10453,1920,12855
"Winterswijk",11119,1920,15739
"Woerden",10974,1920,6663
"Wormer",10648,1920,3474
"Wormerveer",10361,1920,8110
"Woudenberg",11398,1920,2973
"Zaandam",11044,1920,28828
"Zaltbommel",10557,1920,4213
"Zandvoort",10910,1920,6529
"Zoetermeer",10185,1920,2253
"Zeist",10324,1920,17712
"Zevenaar",10938,1920,5598
"Zevenbergen",10046,1920,8409
"Zierikzee",10843,1920,6835
"Zuidlaren",10002,1920,3830
"Zutphen",10254,1920,18713
"Zwaag",10218,1920,1248
"Zwijndrecht",10468,1920,10104
"Zwolle",10093,1920,35743
"Aalsmeer",11264,1930,8567
"Aalten",11046,1930,11195
"Alblasserdam",11327,1930,6189
"Alkmaar",10527,1930,28305
"Almelo",11053,1930,32422
"Alphen aan den Rijn",10517,1930,17668
"Hardenberg",10174,1930,13123
"Amersfoort",10948,1930,38549
"Amsterdam",11150,1930,757386
"Apeldoorn",11075,1930,60452
"Appingedam",10886,1930,6488
"Arnhem",10795,1930,78234
"Assen",10522,1930,17656
"Assendelft",11373,1930,4960
"Asten",10478,1930,5677
"Dedemsvaart",11190,1930,9582
"Baarn",11411,1930,12141
"Barendrecht",10943,1930,4999
"Barneveld",10906,1930,13747
"Voorthuizen",10906,1930,13747
"Beek",11374,1930,5090
"Reuver",10195,1930,4232
"Beilen",10520,1930,8119
"Bemmel",10744,1930,7115
"Schoonhoven",10962,1930,3662
"Bergen",11424,1930,5715
"Bergen op Zoom",11037,1930,21652
"Bergeijk",11160,1930,3020
"Bergschenhoek",10445,1930,2121
"Berkel en Rodenrijs",10139,1930,4329
"Berkel-Enschot",11132,1930,2064
"Best",10442,1930,4253
"Beuningen",10417,1930,3306
"Beverwijk",10272,1930,9961
"Bladel",11006,1930,2439
"Bleiswijk",10994,1930,2211
"Bodegraven",11091,1930,6288
"Borne",10326,1930,9357
"Boskoop",10419,1930,7704
"Bovenkarspel",10945,1930,2929
"Boxmeer",11227,1930,3591
"Boxtel",10083,1930,10944
"Breda",10154,1930,44649
"Breukelen",11149,1930,888
"Brielle",10232,1930,3546
"Eerbeek",10798,1930,9203
"Brunssum",10533,1930,16036
"Bunschoten Spakenburg",11343,1930,4911
"Bussum",10281,1930,25105
"Capelle aan den IJssel",11248,1930,7972
"Castricum",11287,1930,5512
"Coevorden",10383,1930,6816
"Cuijk",10023,1930,4015
"Culemborg",10342,1930,9377
"Dalfsen",11007,1930,7318
"De Bilt",10168,1930,11151
"Bilthoven",10168,1930,11151
"Delft",10928,1930,50827
"Delfzijl",10976,1930,9666
"De Lier",10241,1930,2702
"Den Helder",10285,1930,29426
"Julianadorp",10285,1930,29426
"Deurne",10379,1930,10806
"Deventer",10899,1930,36221
"Werkendam",10116,1930,3432
"Didam",10153,1930,6140
"Diemen",11039,1930,4001
"Doesburg",10327,1930,4921
"Doetinchem",10396,1930,14329
"Dokkum",10198,1930,4895
"Dongen",11412,1930,8853
"Doorn",10213,1930,4134
"Dordrecht",11157,1930,56156
"Driebergen-Rijsenburg",10777,1930,6208
"Drunen",10428,1930,3387
"Druten",10068,1930,5890
"Duiven",11028,1930,3795
"Echt",10941,1930,9425
"Volendam",10884,1930,8295
"Ede",10743,1930,30688
"Lunteren",10743,1930,30688
"Bennekom",10743,1930,30688
"Eibergen",10436,1930,9135
"Eindhoven",11298,1930,94948
"Elburg",11113,1930,2634
"Elst",11188,1930,8701
"Emmen",11180,1930,40961
"Klazienaveen",11180,1930,40961
"Enkhuizen",10729,1930,9347
"Enschede",10364,1930,51805
"Epe",10940,1930,13410
"Vaassen",10940,1930,13410
"Ermelo",10732,1930,14718
"Nunspeet",10732,1930,14718
"Etten-Leur",10750,1930,9583
"Franeker",11226,1930,8103
"Geldermalsen",10881,1930,4565
"Geldrop",10529,1930,8953
"Geleen",10048,1930,12411
"Gemert",10277,1930,6107
"Ulft",10260,1930,10184
"Genemuiden",10746,1930,3311
"Rijen",11375,1930,7741
"Goes",10674,1930,9124
"Goirle",10971,1930,5235
"Goor",10076,1930,3828
"Gorinchem",10942,1930,14033
"Gouda",10302,1930,29163
"Groesbeek",10616,1930,7819
"Groningen",10426,1930,105146
"Haaksbergen",11435,1930,8435
"Haarlem",10357,1930,119700
"Hoofddorp",11387,1930,26829
"Nieuw Vennep",11387,1930,26829
"Badhoevedorp",11387,1930,26829
"Halsteren",10387,1930,5754
"Harderwijk",10786,1930,8661
"Hardinxveld Giessendam",10167,1930,6846
"Haren",11058,1930,7073
"Harlingen",10909,1930,10443
"Joure",10022,1930,8170
"Hattem",10673,1930,4525
"Heemskerk",10679,1930,4467
"Heemstede",11288,1930,14417
"Heerde",10291,1930,8857
"Heerhugowaard",10752,1930,4905
"Heerlen",10902,1930,46917
"Heesch",10149,1930,3115
"Heiloo",10793,1930,4934
"Nijverdal",10806,1930,13721
"Helmond",10932,1930,25435
"Hendrik Ido Ambacht",10416,1930,4805
"Hengelo",10907,1930,34338
"Malden",10600,1930,3195
"Hillegom",11236,1930,10812
"Hilversum",11285,1930,57059
"Hoensbroek",11177,1930,13618
"Hoogeveen",10839,1930,15313
"Hoogezand",10410,1930,11429
"Hoogland",10545,1930,3596
"Hoorn",11392,1930,12049
"Horst",11108,1930,7375
"Houten",10230,1930,2432
"Huissen",11047,1930,5548
"Huizen",11170,1930,8077
"Hulst",11408,1930,3914
"IJsselmuiden",10641,1930,2980
"IJsselstein",10152,1930,4866
"Nieuwegein",10374,1930,4535
"Kampen",10253,1930,19880
"Katwijk",10707,1930,15637
"Kerkrade",10313,1930,36705
"Koog aan de Zaan",10776,1930,4463
"Krimpen aan den IJssel",10859,1930,5018
"Krommenie",10373,1930,5587
"Laren",10649,1930,6513
"Leek",10604,1930,7850
"Leerdam",10685,1930,8952
"Leeuwarden",11228,1930,48548
"Leiden",10702,1930,70825
"Leiderdorp",10058,1930,2390
"Lemmer",10142,1930,7213
"Leusden",10978,1930,2335
"Lichtenvoorde",10242,1930,7404
"Lisse",10197,1930,8478
"Lochem",11263,1930,5759
"Oldenzaal",11045,1930,31129
"Kaatsheuvel",11259,1930,10258
"Losser",11166,1930,14762
"Maarssen",10874,1930,1809
"Maassluis",10880,1930,9567
"Maastricht",10182,1930,60644
"Made",10258,1930,5335
"Meppel",11204,1930,12133
"Middelburg",10122,1930,18395
"Mijdrecht",11379,1930,4615
"Monster",10019,1930,10478
"Naaldwijk",11418,1930,11757
"Naarden",10187,1930,5839
"Nederweert",10681,1930,6632
"Landgraaf",10088,1930,5217
"Amstelveen",10799,1930,12421
"Nieuwerkerk aan den IJssel",10855,1930,3782
"Hellevoetsluis",10264,1930,2414
"Nijkerk",10446,1930,9889
"Nijmegen",11209,1930,81716
"Noordwijk",10769,1930,10130
"Noordwijkerhout",11134,1930,6275
"Nootdorp",10601,1930,1411
"Nuenen",10761,1930,3988
"Oegstgeest",10287,1930,6998
"Oirschot",10225,1930,4908
"Oisterwijk",10103,1930,6356
"Wezep",11106,1930,8670
"Ommen",11069,1930,8129
"Stadskanaal",10610,1930,18079
"Oost-Souburg",11396,1930,4539
"Oosterhout",11280,1930,15109
"Oss",10834,1930,14618
"Oud Beijerland",11301,1930,6027
"Oudenbosch",10397,1930,5745
"Valkenburg",10868,1930,1136
"Papendrecht",10427,1930,5530
"Pijnacker",10031,1930,5584
"Hoogvliet",11395,1930,3333
"Prinsenbeek",10762,1930,11114
"Purmerend",11066,1930,6062
"Putten",11109,1930,7638
"Raalte",10279,1930,9641
"Raamsdonksveer",11391,1930,7216
"Wolvega",10330,1930,2802
"Oosterwolde",10330,1930,2802
"Burgum",10330,1930,2802
"Oosterbeek",11325,1930,18524
"Velp",11355,1930,24642
"Dieren",11355,1930,24642
"Rhenen",10309,1930,7689
"Rhoon",10903,1930,2635
"Ridderkerk",10646,1930,14797
"Rijnsburg",11118,1930,4515
"Rijssen",10358,1930,9382
"Rijswijk",11133,1930,15934
"Roden",10699,1930,5284
"Roermond",11313,1930,16677
"Roosendaal",10407,1930,22093
"Rosmalen",10970,1930,5054
"Rotterdam",10345,1930,586952
"Rozenburg",11314,1930,2523
"Sassenheim",10612,1930,5260
"Schagen",10511,1930,3902
"Schiedam",11260,1930,52805
"Schijndel",11178,1930,8010
"Heerenveen",10680,1930,17379
"Den Haag",11434,1930,437675
"s-Gravenzande",10640,1930,7073
"Den Bosch",10054,1930,42203
"Sint Michielsgestel",10496,1930,5491
"Sint Oedenrode",10399,1930,6492
"Sittard",11230,1930,14566
"Sliedrecht",11331,1930,13146
"Drachten",10405,1930,15346
"Sneek",11421,1930,14854
"Soest",11021,1930,13893
"Someren",10203,1930,4487
"Son",10549,1930,2927
"Spijkenisse",10735,1930,2330
"Staphorst",11362,1930,6785
"Steenbergen",10731,1930,9117
"Steenwijk",10546,1930,7261
"Stein",11319,1930,3723
"Tegelen",11333,1930,10559
"Terneuzen",10704,1930,10458
"Tiel",10027,1930,12341
"Tilburg",10792,1930,78804
"Uden",11141,1930,7954
"Uitgeest",11238,1930,4036
"Uithoorn",11206,1930,3938
"Urk",10783,1930,3216
"Utrecht",10722,1930,154882
"Valkenswaard",11031,1930,7423
"Veendam",11292,1930,13383
"Veenendaal",11052,1930,8385
"Veghel",10985,1930,7663
"Veldhoven",10071,1930,7105
"De Meern",10713,1930,610
"IJmuiden",10620,1930,41259
"Velserbroek",10620,1930,41259
"Venlo",10477,1930,24275
"Venray",11222,1930,12360
"Leidschendam",10366,1930,3590
"Vianen",10887,1930,3505
"Vlaardingen",10811,1930,27855
"Vleuten",10658,1930,2798
"Vlijmen",11293,1930,4159
"Vlissingen",10270,1930,21716
"Voorburg",11103,1930,19214
"Voorhout",10017,1930,3196
"Voorschoten",10537,1930,5490
"Twello",10912,1930,13812
"Vriezenveen",10643,1930,8750
"Vught",11224,1930,10135
"Waalre",10959,1930,4323
"Waalwijk",11359,1930,9919
"Waddinxveen",10081,1930,7314
"Wageningen",11010,1930,13167
"Wassenaar",10164,1930,13027
"Wateringen",11329,1930,4419
"Weert",11081,1930,14144
"Weesp",10773,1930,7227
"Westervoort",11085,1930,2006
"Wierden",10676,1930,10831
"Wijchen",10723,1930,6006
"Wijk bij Duurstede",10760,1930,3253
"Winschoten",10453,1930,13342
"Winterswijk",11119,1930,17939
"Woerden",10974,1930,7650
"Wormer",10648,1930,4301
"Wormerveer",10361,1930,8818
"Woudenberg",11398,1930,3126
"Zaandam",11044,1930,33184
"Zaltbommel",10557,1930,4077
"Zandvoort",10910,1930,8034
"Zoetermeer",10185,1930,2660
"Zeist",10324,1930,24754
"Zevenaar",10938,1930,6427
"Zevenbergen",10046,1930,8697
"Zierikzee",10843,1930,6771
"Zuidlaren",10002,1930,4571
"Zutphen",10254,1930,19737
"Zwaag",10218,1930,1656
"Zwijndrecht",10468,1930,12139
"Zwolle",10093,1930,40496
